Sensor Position (Radians)	Light Intensity (Volts)
2.70090	0.29553
2.70526	0.29731
2.70962	0.30101
2.71399	0.30697
2.71835	0.31293
2.72271	0.31744
2.72708	0.32115
2.72708	0.32630
2.73144	0.32952
2.73580	0.33194
2.74017	0.34096
2.74017	0.34144
2.74453	0.34547
2.74889	0.35433
2.75326	0.35288
2.75762	0.36093
2.76198	0.36303
2.76198	0.36947
2.76635	0.37221
2.77071	0.37640
2.77507	0.37849
2.77507	0.38252
2.77944	0.38526
2.78380	0.38799
2.78380	0.39379
2.78816	0.39444
2.78816	0.39975
2.79253	0.40040
2.79253	0.40507
2.79689	0.40813
2.79689	0.41071
2.80125	0.41119
2.80562	0.41796
2.80562	0.42037
2.80998	0.41908
2.80998	0.42408
2.80998	0.42665
2.81434	0.42537
2.81871	0.43165
2.81871	0.43004
2.82307	0.43584
2.82307	0.43857
2.82743	0.43841
2.82743	0.43745
2.83180	0.44276
2.83180	0.44679
2.83616	0.45066
2.83616	0.45355
2.83616	0.45033
2.84052	0.45452
2.84489	0.45533
2.84489	0.45903
2.84489	0.46064
2.84489	0.46145
2.84925	0.46145
2.84925	0.46692
2.85361	0.46709
2.85361	0.46805
2.85361	0.46805
2.85361	0.46886
2.85361	0.47143
2.85798	0.46999
2.85798	0.47595
2.86234	0.47546
2.86234	0.48029
2.86670	0.48223
2.86670	0.48271
2.86670	0.48497
2.87107	0.48497
2.87107	0.48674
2.87543	0.48948
2.87543	0.48915
2.87979	0.49447
2.88416	0.49930
2.88416	0.50204
2.88852	0.50607
2.89288	0.50687
2.89288	0.50897
2.89725	0.51380
2.90161	0.51686
2.90597	0.51557
2.90597	0.52395
2.91034	0.52314
2.91470	0.52797
2.91906	0.52878
2.91906	0.53377
2.92343	0.53458
2.92779	0.53796
2.92779	0.54231
2.93215	0.53973
2.93652	0.54650
2.93652	0.54779
2.94088	0.54714
2.94524	0.54956
2.94524	0.55246
2.94961	0.55520
2.95397	0.55858
2.95397	0.55810
2.95833	0.56067
2.96270	0.56196
2.96270	0.56502
2.96706	0.56792
2.96706	0.56808
2.97142	0.57372
2.97579	0.56889
2.97579	0.57565
2.98015	0.57517
2.98015	0.57775
2.98451	0.57984
2.98451	0.58065
2.98888	0.58242
2.99324	0.58435
2.99324	0.58661
2.99760	0.58613
3.00197	0.58935
3.00633	0.59257
3.01069	0.59353
3.01506	0.59643
3.02378	0.59724
3.02815	0.60288
3.03251	0.60256
3.03251	0.60368
3.03687	0.60529
3.03687	0.60545
3.04124	0.60932
3.04560	0.60868
3.04996	0.60964
3.05433	0.61431
3.05869	0.61222
3.05869	0.61544
3.06742	0.61786
3.07178	0.61705
3.07614	0.61786
3.08051	0.61899
3.08051	0.61931
3.08487	0.61995
3.08923	0.62027
3.08923	0.62124
3.09360	0.62221
3.09796	0.62398
3.10232	0.62414
3.10669	0.62317
3.11105	0.62559
3.11541	0.62253
3.11978	0.62446
3.12414	0.62414
3.12850	0.62301
3.13723	0.62511
3.14159	0.62189
3.14159	0.62607
3.14596	0.62317
